dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,15.0,0.7894736842105263,1.0,0.9375,0.7894736842105263,0.8571428571428572
Foursquare_NYC,SentenTree,5.0,18.0,16.0,15.0,0.8333333333333334,1.0,0.9375,0.8333333333333334,0.8823529411764706
Foursquare_NYC,Sequence Synopsis,15.0,106.0,40.0,30.0,0.2830188679245283,10.0,0.75,0.2830188679245283,0.4109589041095891
VAST,SentenTree,5.0,46.0,44.0,21.0,0.45652173913043476,23.0,0.4772727272727273,0.45652173913043476,0.4666666666666666
VAST,Sequence Synopsis,5.0,96.0,47.0,39.0,0.40625,8.0,0.8297872340425532,0.40625,0.5454545454545454
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,20.0,83.0,69.0,65.0,0.7831325301204819,4.0,0.9420289855072463,0.7831325301204819,0.8552631578947367
VAST,Sequence Synopsis,25.0,71.0,65.0,61.0,0.8591549295774648,4.0,0.9384615384615385,0.8591549295774648,0.8970588235294118
career,CoreFlow,5.0,23.0,22.0,17.0,0.7391304347826086,5.0,0.7727272727272727,0.7391304347826086,0.7555555555555555
career,CoreFlow,10.0,19.0,17.0,14.0,0.7368421052631579,3.0,0.8235294117647058,0.7368421052631579,0.7777777777777778
career,SentenTree,5.0,44.0,28.0,17.0,0.38636363636363635,11.0,0.6071428571428571,0.38636363636363635,0.4722222222222222
career,SentenTree,10.0,23.0,17.0,17.0,0.7391304347826086,0.0,1.0,0.7391304347826086,0.85
chicago_baseball,CoreFlow,5.0,22.0,18.0,12.0,0.5454545454545454,6.0,0.6666666666666666,0.5454545454545454,0.6
chicago_baseball,SentenTree,5.0,25.0,19.0,14.0,0.56,5.0,0.7368421052631579,0.56,0.6363636363636364
pediatric_trauma,CoreFlow,5.0,17.0,13.0,8.0,0.47058823529411764,5.0,0.6153846153846154,0.47058823529411764,0.5333333333333333
pediatric_trauma,SentenTree,5.0,30.0,26.0,10.0,0.3333333333333333,16.0,0.38461538461538464,0.3333333333333333,0.3571428571428571
pediatric_trauma,Sequence Synopsis,5.0,63.0,57.0,57.0,0.9047619047619048,0.0,1.0,0.9047619047619048,0.9500000000000001
pediatric_trauma,Sequence Synopsis,20.0,58.0,47.0,47.0,0.8103448275862069,0.0,1.0,0.8103448275862069,0.8952380952380952
process_mining,CoreFlow,5.0,19.0,15.0,7.0,0.3684210526315789,8.0,0.4666666666666667,0.3684210526315789,0.4117647058823529
process_mining,SentenTree,5.0,20.0,19.0,17.0,0.85,2.0,0.8947368421052632,0.85,0.8717948717948718
test,CoreFlow,5.0,20.0,15.0,14.0,0.7,1.0,0.9333333333333333,0.7,0.8
test,SentenTree,5.0,37.0,29.0,22.0,0.5945945945945946,7.0,0.7586206896551724,0.5945945945945946,0.6666666666666667
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,20.0,18.0,0.8181818181818182,2.0,0.9,0.8181818181818182,0.8571428571428572
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,26.0,14.0,0.4,12.0,0.5384615384615384,0.4,0.45901639344262296
vast_1000,SentenTree,5.0,36.0,29.0,12.0,0.3333333333333333,17.0,0.41379310344827586,0.3333333333333333,0.36923076923076925
