dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,15.0,0.7894736842105263,1.0,0.9375,0.7894736842105263,0.8571428571428572
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,9.0,8.0,6.0,0.6666666666666666,2.0,0.75,0.6666666666666666,0.7058823529411765
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,16.0,15.0,0.8333333333333334,1.0,0.9375,0.8333333333333334,0.8823529411764706
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
Foursquare_NYC,SentenTree,15.0,9.0,8.0,6.0,0.6666666666666666,2.0,0.75,0.6666666666666666,0.7058823529411765
Foursquare_NYC,SentenTree,20.0,7.0,5.0,3.0,0.42857142857142855,2.0,0.6,0.42857142857142855,0.5
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,40.0,30.0,0.2830188679245283,10.0,0.75,0.2830188679245283,0.4109589041095891
VAST,CoreFlow,5.0,6.0,4.0,4.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,44.0,21.0,0.45652173913043476,23.0,0.4772727272727273,0.45652173913043476,0.4666666666666666
VAST,SentenTree,10.0,16.0,16.0,12.0,0.75,4.0,0.75,0.75,0.75
VAST,SentenTree,15.0,11.0,9.0,9.0,0.8181818181818182,0.0,1.0,0.8181818181818182,0.9
VAST,SentenTree,20.0,10.0,10.0,9.0,0.9,1.0,0.9,0.9,0.9
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,47.0,39.0,0.40625,8.0,0.8297872340425532,0.40625,0.5454545454545454
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,20.0,83.0,69.0,65.0,0.7831325301204819,4.0,0.9420289855072463,0.7831325301204819,0.8552631578947367
VAST,Sequence Synopsis,25.0,71.0,65.0,61.0,0.8591549295774648,4.0,0.9384615384615385,0.8591549295774648,0.8970588235294118
career,CoreFlow,5.0,23.0,22.0,17.0,0.7391304347826086,5.0,0.7727272727272727,0.7391304347826086,0.7555555555555555
career,CoreFlow,10.0,19.0,17.0,14.0,0.7368421052631579,3.0,0.8235294117647058,0.7368421052631579,0.7777777777777778
career,CoreFlow,15.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
career,CoreFlow,20.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,5.0,44.0,28.0,17.0,0.38636363636363635,11.0,0.6071428571428571,0.38636363636363635,0.4722222222222222
career,SentenTree,10.0,23.0,17.0,17.0,0.7391304347826086,0.0,1.0,0.7391304347826086,0.85
career,SentenTree,15.0,15.0,13.0,9.0,0.6,4.0,0.6923076923076923,0.6,0.6428571428571429
career,SentenTree,20.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,25.0,10.0,11.0,10.0,1.0,1.0,0.9090909090909091,1.0,0.9523809523809523
career,Sequence Synopsis,5.0,50.0,22.0,22.0,0.44,0.0,1.0,0.44,0.6111111111111112
career,Sequence Synopsis,10.0,36.0,35.0,35.0,0.9722222222222222,0.0,1.0,0.9722222222222222,0.9859154929577464
career,Sequence Synopsis,15.0,49.0,14.0,14.0,0.2857142857142857,0.0,1.0,0.2857142857142857,0.4444444444444445
career,Sequence Synopsis,25.0,50.0,9.0,9.0,0.18,0.0,1.0,0.18,0.3050847457627119
career,Sequence Synopsis,30.0,40.0,15.0,15.0,0.375,0.0,1.0,0.375,0.5454545454545454
chicago_baseball,CoreFlow,5.0,22.0,18.0,12.0,0.5454545454545454,6.0,0.6666666666666666,0.5454545454545454,0.6
chicago_baseball,CoreFlow,10.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
chicago_baseball,CoreFlow,15.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,5.0,25.0,19.0,14.0,0.56,5.0,0.7368421052631579,0.56,0.6363636363636364
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
