dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->exit,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,43,1.0,2.0,1.0
Foursquare_NYC,SentenTree,10.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,fast food->fast food,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,arts&entertainment,8,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,bank switch,16,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,beach exit,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,event space indoor,18,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,95,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,fast food,38,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,hotel exit,3,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,laundry service exit,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,shop exit,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,subway,10,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->camping,6,2.0,3.0,1.0
VAST,SentenTree,5.0,camping->camping,15,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-base,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-stop,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-stop,7,0.0,1.0,1.0
VAST,SentenTree,5.0,gate->camping,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,30,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->gate,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,3,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,7,0.0,2.0,2.0
VAST,SentenTree,5.0,general gate->general gate,8,0.0,2.0,2.0
VAST,SentenTree,5.0,general gate->general gate,14,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,4,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,7,1.0,2.0,1.0
VAST,SentenTree,5.0,ranger-stop->camping,7,0.0,2.0,2.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,6,5.0,6.0,1.0
