dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,11.0,8.0,0.42105263157894735,3.0,0.7272727272727273,0.42105263157894735,0.5333333333333333
Foursquare_NYC,Sequence Synopsis,15.0,106.0,25.0,15.0,0.14150943396226415,10.0,0.6,0.14150943396226415,0.22900763358778625
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,5.0,96.0,10.0,10.0,0.10416666666666667,0.0,1.0,0.10416666666666667,0.18867924528301885
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,5.0,23.0,15.0,6.0,0.2608695652173913,9.0,0.4,0.2608695652173913,0.31578947368421056
career,CoreFlow,10.0,19.0,12.0,4.0,0.21052631578947367,8.0,0.3333333333333333,0.21052631578947367,0.2580645161290323
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,21.0,12.0,0.5217391304347826,9.0,0.5714285714285714,0.5217391304347826,0.5454545454545454
chicago_baseball,CoreFlow,5.0,22.0,16.0,9.0,0.4090909090909091,7.0,0.5625,0.4090909090909091,0.47368421052631576
chicago_baseball,SentenTree,5.0,25.0,21.0,12.0,0.48,9.0,0.5714285714285714,0.48,0.5217391304347826
pediatric_trauma,CoreFlow,5.0,17.0,11.0,4.0,0.23529411764705882,7.0,0.36363636363636365,0.23529411764705882,0.2857142857142857
pediatric_trauma,SentenTree,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process_mining,CoreFlow,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,CoreFlow,5.0,20.0,14.0,9.0,0.45,5.0,0.6428571428571429,0.45,0.5294117647058824
test,SentenTree,5.0,37.0,51.0,12.0,0.32432432432432434,39.0,0.23529411764705882,0.32432432432432434,0.2727272727272727
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,14.0,8.0,0.36363636363636365,6.0,0.5714285714285714,0.36363636363636365,0.4444444444444444
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,29.0,13.0,0.37142857142857144,16.0,0.4482758620689655,0.37142857142857144,0.40625
vast_1000,SentenTree,5.0,36.0,18.0,3.0,0.08333333333333333,15.0,0.16666666666666666,0.08333333333333333,0.1111111111111111
