dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,9.0,8.0,0.7272727272727273,1.0,0.8888888888888888,0.7272727272727273,0.7999999999999999
Foursquare_NYC,SentenTree,5.0,18.0,11.0,7.0,0.3888888888888889,4.0,0.6363636363636364,0.3888888888888889,0.4827586206896552
VAST,SentenTree,10.0,16.0,11.0,6.0,0.375,5.0,0.5454545454545454,0.375,0.4444444444444444
VAST,Sequence Synopsis,20.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,25.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,15.0,13.0,12.0,2.0,0.15384615384615385,10.0,0.16666666666666666,0.15384615384615385,0.16
career,SentenTree,15.0,15.0,11.0,7.0,0.4666666666666667,4.0,0.6363636363636364,0.4666666666666667,0.5384615384615385
career,SentenTree,20.0,12.0,12.0,5.0,0.4166666666666667,7.0,0.4166666666666667,0.4166666666666667,0.4166666666666667
chicago_baseball,CoreFlow,10.0,12.0,8.0,6.0,0.5,2.0,0.75,0.5,0.6
chicago_baseball,SentenTree,10.0,13.0,9.0,5.0,0.38461538461538464,4.0,0.5555555555555556,0.38461538461538464,0.4545454545454546
emergency_dataset,CoreFlow,5.0,11.0,11.0,4.0,0.36363636363636365,7.0,0.36363636363636365,0.36363636363636365,0.36363636363636365
emergency_dataset,SentenTree,5.0,14.0,12.0,8.0,0.5714285714285714,4.0,0.6666666666666666,0.5714285714285714,0.6153846153846153
emergency_dataset,SentenTree,10.0,12.0,10.0,6.0,0.5,4.0,0.6,0.5,0.5454545454545454
emergency_dataset,SentenTree,15.0,12.0,10.0,7.0,0.5833333333333334,3.0,0.7,0.5833333333333334,0.6363636363636365
pediatric_trauma,CoreFlow,15.0,11.0,6.0,6.0,0.5454545454545454,0.0,1.0,0.5454545454545454,0.7058823529411764
pediatric_trauma,SentenTree,10.0,18.0,8.0,2.0,0.1111111111111111,6.0,0.25,0.1111111111111111,0.15384615384615383
pediatric_trauma,Sequence Synopsis,5.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,Sequence Synopsis,15.0,45.0,21.0,17.0,0.37777777777777777,4.0,0.8095238095238095,0.37777777777777777,0.5151515151515151
pediatric_trauma,Sequence Synopsis,20.0,58.0,25.0,19.0,0.3275862068965517,6.0,0.76,0.3275862068965517,0.45783132530120474
process_mining,CoreFlow,10.0,13.0,9.0,4.0,0.3076923076923077,5.0,0.4444444444444444,0.3076923076923077,0.3636363636363637
process_mining,SentenTree,5.0,20.0,13.0,6.0,0.3,7.0,0.46153846153846156,0.3,0.3636363636363637
process_mining,SentenTree,10.0,13.0,9.0,7.0,0.5384615384615384,2.0,0.7777777777777778,0.5384615384615384,0.6363636363636364
process_mining,Sequence Synopsis,5.0,33.0,13.0,11.0,0.3333333333333333,2.0,0.8461538461538461,0.3333333333333333,0.47826086956521735
process_mining,Sequence Synopsis,10.0,33.0,14.0,11.0,0.3333333333333333,3.0,0.7857142857142857,0.3333333333333333,0.4680851063829786
process_mining,Sequence Synopsis,15.0,33.0,18.0,11.0,0.3333333333333333,7.0,0.6111111111111112,0.3333333333333333,0.43137254901960786
process_mining,Sequence Synopsis,20.0,33.0,13.0,11.0,0.3333333333333333,2.0,0.8461538461538461,0.3333333333333333,0.47826086956521735
process_mining,Sequence Synopsis,25.0,33.0,14.0,12.0,0.36363636363636365,2.0,0.8571428571428571,0.36363636363636365,0.5106382978723404
process_mining,Sequence Synopsis,30.0,33.0,13.0,12.0,0.36363636363636365,1.0,0.9230769230769231,0.36363636363636365,0.5217391304347827
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,12.0,11.0,0.7333333333333333,1.0,0.9166666666666666,0.7333333333333333,0.8148148148148148
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,14.0,7.0,0.35,7.0,0.5,0.35,0.4117647058823529
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,23.0,22.0,0.55,1.0,0.9565217391304348,0.55,0.6984126984126985
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,24.0,24.0,0.6,0.0,1.0,0.6,0.7499999999999999
vast_1000,SentenTree,10.0,13.0,11.0,7.0,0.5384615384615384,4.0,0.6363636363636364,0.5384615384615384,0.5833333333333334
