dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,10.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,71,1.0,2.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->fast food,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,start->restaurant,188,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->entrance,67,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,9,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,general gate->general gate,23,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->ranger-stop,11,1.0,2.0,1.0
career,CoreFlow,15.0,bs->conference,16,0.0,1.0,1.0
career,CoreFlow,15.0,bs->exit,9,0.0,1.0,1.0
career,CoreFlow,15.0,conference->journal,7,0.0,1.0,1.0
career,CoreFlow,15.0,ms->conference,9,0.0,1.0,1.0
career,CoreFlow,15.0,ms->exit,7,0.0,1.0,1.0
career,CoreFlow,15.0,professor->exit,7,0.0,1.0,1.0
career,CoreFlow,15.0,professor->journal,8,0.0,1.0,1.0
career,CoreFlow,15.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,15.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,15.0,start->professor,25,0.0,1.0,1.0
career,SentenTree,15.0,journal->journal,8,0.0,1.0,1.0
career,SentenTree,15.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,15.0,start->journal,25,0.0,1.0,1.0
career,SentenTree,15.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,10,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,15,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,23,0.0,1.0,1.0
career,SentenTree,20.0,journal->professor,18,0.0,1.0,1.0
career,SentenTree,20.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,20.0,start->journal,25,0.0,1.0,1.0
career,SentenTree,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,start->conference,15,0.0,2.0,2.0
career,SentenTree,25.0,start->conference,20,0.0,1.0,1.0
career,SentenTree,25.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,25.0,start->exit,1,0.0,1.0,1.0
career,SentenTree,25.0,start->journal,25,0.0,1.0,1.0
career,SentenTree,25.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,start->professor,15,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,13,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,14,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,start->team-1 offense,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 defensive rebound->team-1 made shot,43,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,exit->exit,45,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,exit->made shot-2,18,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,opponent offense->foul,43,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,opponent offense->missed shot-2,30,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,arrival->discharge-alive,38,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,arrival->icu,62,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,emergency->discharge-alive,24,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,emergency->floor,24,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,emergency->icu,36,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,icu->exit,24,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,start->emergency,100,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->die,36,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->exit,16,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->icu,41,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,icu->exit,8,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->die,24,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->discharge-alive,38,0.0,1.0,1.0
