dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,7.0,3.0,0.3333333333333333,4.0,0.42857142857142855,0.3333333333333333,0.375
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,4.0,0.5714285714285714,3.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
Foursquare_NYC,CoreFlow,25.0,5.0,4.0,3.0,0.6,1.0,0.75,0.6,0.6666666666666665
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,2.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Foursquare_NYC,SentenTree,15.0,9.0,8.0,1.0,0.1111111111111111,7.0,0.125,0.1111111111111111,0.11764705882352941
Foursquare_NYC,SentenTree,20.0,7.0,5.0,3.0,0.42857142857142855,2.0,0.6,0.42857142857142855,0.5
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,12.0,12.0,0.75,0.0,1.0,0.75,0.8571428571428571
Foursquare_NYC,Sequence Synopsis,10.0,20.0,7.0,7.0,0.35,0.0,1.0,0.35,0.5185185185185185
VAST,CoreFlow,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,CoreFlow,10.0,4.0,2.0,1.0,0.25,1.0,0.5,0.25,0.3333333333333333
VAST,SentenTree,15.0,11.0,10.0,7.0,0.6363636363636364,3.0,0.7,0.6363636363636364,0.6666666666666666
VAST,SentenTree,20.0,10.0,9.0,9.0,0.9,0.0,1.0,0.9,0.9473684210526316
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,7.0,2.0,0.2222222222222222,5.0,0.2857142857142857,0.2222222222222222,0.25
chicago_baseball,CoreFlow,15.0,8.0,7.0,6.0,0.75,1.0,0.8571428571428571,0.75,0.7999999999999999
chicago_baseball,CoreFlow,25.0,6.0,5.0,4.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.7272727272727272
chicago_baseball,SentenTree,15.0,11.0,9.0,8.0,0.7272727272727273,1.0,0.8888888888888888,0.7272727272727273,0.7999999999999999
chicago_baseball,SentenTree,20.0,9.0,8.0,7.0,0.7777777777777778,1.0,0.875,0.7777777777777778,0.823529411764706
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,6.0,5.0,0.3333333333333333,1.0,0.8333333333333334,0.3333333333333333,0.47619047619047616
chicago_baseball,Sequence Synopsis,15.0,6.0,5.0,5.0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.9090909090909091
chicago_baseball,Sequence Synopsis,20.0,21.0,14.0,14.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
chicago_baseball,Sequence Synopsis,25.0,31.0,17.0,17.0,0.5483870967741935,0.0,1.0,0.5483870967741935,0.7083333333333333
chicago_baseball,Sequence Synopsis,30.0,25.0,12.0,10.0,0.4,2.0,0.8333333333333334,0.4,0.5405405405405406
emergency_dataset,CoreFlow,25.0,8.0,7.0,6.0,0.75,1.0,0.8571428571428571,0.75,0.7999999999999999
emergency_dataset,SentenTree,25.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
emergency_dataset,SentenTree,30.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
emergency_dataset,Sequence Synopsis,5.0,25.0,8.0,8.0,0.32,0.0,1.0,0.32,0.48484848484848486
pediatric_trauma,CoreFlow,30.0,9.0,6.0,4.0,0.4444444444444444,2.0,0.6666666666666666,0.4444444444444444,0.5333333333333333
pediatric_trauma,SentenTree,15.0,10.0,7.0,3.0,0.3,4.0,0.42857142857142855,0.3,0.3529411764705882
pediatric_trauma,SentenTree,20.0,8.0,7.0,3.0,0.375,4.0,0.42857142857142855,0.375,0.39999999999999997
pediatric_trauma,Sequence Synopsis,10.0,31.0,10.0,10.0,0.3225806451612903,0.0,1.0,0.3225806451612903,0.4878048780487805
process_mining,CoreFlow,15.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
process_mining,CoreFlow,20.0,5.0,5.0,4.0,0.8,1.0,0.8,0.8,0.8000000000000002
process_mining,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,15.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
process_mining,SentenTree,20.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
process_mining,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
test,CoreFlow,20.0,8.0,7.0,6.0,0.75,1.0,0.8571428571428571,0.75,0.7999999999999999
test,SentenTree,20.0,8.0,7.0,5.0,0.625,2.0,0.7142857142857143,0.625,0.6666666666666666
test,Sequence Synopsis,5.0,24.0,10.0,10.0,0.4166666666666667,0.0,1.0,0.4166666666666667,0.5882352941176471
umdvsunc_D2O_basketball,CoreFlow,15.0,9.0,9.0,2.0,0.2222222222222222,7.0,0.2222222222222222,0.2222222222222222,0.2222222222222222
umdvsunc_D2O_basketball,CoreFlow,25.0,5.0,4.0,3.0,0.6,1.0,0.75,0.6,0.6666666666666665
umdvsunc_D2O_basketball,SentenTree,15.0,10.0,11.0,4.0,0.4,7.0,0.36363636363636365,0.4,0.380952380952381
umdvsunc_D2O_basketball,SentenTree,25.0,9.0,9.0,3.0,0.3333333333333333,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
umdvsunc_D2O_basketball,Sequence Synopsis,15.0,32.0,16.0,16.0,0.5,0.0,1.0,0.5,0.6666666666666666
umdvsunc_D2O_basketball,Sequence Synopsis,20.0,25.0,11.0,11.0,0.44,0.0,1.0,0.44,0.6111111111111112
umdvsunc_D2O_basketball,Sequence Synopsis,25.0,32.0,16.0,16.0,0.5,0.0,1.0,0.5,0.6666666666666666
vast_1000,CoreFlow,5.0,7.0,4.0,2.0,0.2857142857142857,2.0,0.5,0.2857142857142857,0.36363636363636365
vast_1000,CoreFlow,10.0,5.0,4.0,3.0,0.6,1.0,0.75,0.6,0.6666666666666665
vast_1000,SentenTree,15.0,11.0,8.0,8.0,0.7272727272727273,0.0,1.0,0.7272727272727273,0.8421052631578948
vast_1000,SentenTree,20.0,10.0,8.0,8.0,0.8,0.0,1.0,0.8,0.888888888888889
vast_1000,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
