dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,11.0,8.0,0.42105263157894735,3.0,0.7272727272727273,0.42105263157894735,0.5333333333333333
Foursquare_NYC,CoreFlow,10.0,11.0,9.0,8.0,0.7272727272727273,1.0,0.8888888888888888,0.7272727272727273,0.7999999999999999
Foursquare_NYC,CoreFlow,15.0,9.0,7.0,3.0,0.3333333333333333,4.0,0.42857142857142855,0.3333333333333333,0.375
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,4.0,0.5714285714285714,3.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
Foursquare_NYC,CoreFlow,25.0,5.0,4.0,3.0,0.6,1.0,0.75,0.6,0.6666666666666665
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,2.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Foursquare_NYC,SentenTree,5.0,18.0,11.0,7.0,0.3888888888888889,4.0,0.6363636363636364,0.3888888888888889,0.4827586206896552
Foursquare_NYC,SentenTree,10.0,10.0,9.0,5.0,0.5,4.0,0.5555555555555556,0.5,0.5263157894736842
Foursquare_NYC,SentenTree,15.0,9.0,8.0,1.0,0.1111111111111111,7.0,0.125,0.1111111111111111,0.11764705882352941
Foursquare_NYC,SentenTree,20.0,7.0,5.0,3.0,0.42857142857142855,2.0,0.6,0.42857142857142855,0.5
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,12.0,12.0,0.75,0.0,1.0,0.75,0.8571428571428571
Foursquare_NYC,Sequence Synopsis,10.0,20.0,7.0,7.0,0.35,0.0,1.0,0.35,0.5185185185185185
Foursquare_NYC,Sequence Synopsis,15.0,106.0,25.0,15.0,0.14150943396226415,10.0,0.6,0.14150943396226415,0.22900763358778625
VAST,CoreFlow,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,CoreFlow,10.0,4.0,2.0,1.0,0.25,1.0,0.5,0.25,0.3333333333333333
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,10.0,16.0,11.0,6.0,0.375,5.0,0.5454545454545454,0.375,0.4444444444444444
VAST,SentenTree,15.0,11.0,10.0,7.0,0.6363636363636364,3.0,0.7,0.6363636363636364,0.6666666666666666
VAST,SentenTree,20.0,10.0,9.0,9.0,0.9,0.0,1.0,0.9,0.9473684210526316
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,10.0,10.0,0.10416666666666667,0.0,1.0,0.10416666666666667,0.18867924528301885
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,20.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,25.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,5.0,23.0,15.0,6.0,0.2608695652173913,9.0,0.4,0.2608695652173913,0.31578947368421056
career,CoreFlow,10.0,19.0,12.0,4.0,0.21052631578947367,8.0,0.3333333333333333,0.21052631578947367,0.2580645161290323
career,CoreFlow,15.0,13.0,12.0,2.0,0.15384615384615385,10.0,0.16666666666666666,0.15384615384615385,0.16
career,CoreFlow,20.0,9.0,7.0,2.0,0.2222222222222222,5.0,0.2857142857142857,0.2222222222222222,0.25
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,21.0,12.0,0.5217391304347826,9.0,0.5714285714285714,0.5217391304347826,0.5454545454545454
career,SentenTree,15.0,15.0,11.0,7.0,0.4666666666666667,4.0,0.6363636363636364,0.4666666666666667,0.5384615384615385
career,SentenTree,20.0,12.0,12.0,5.0,0.4166666666666667,7.0,0.4166666666666667,0.4166666666666667,0.4166666666666667
career,SentenTree,25.0,10.0,9.0,1.0,0.1,8.0,0.1111111111111111,0.1,0.10526315789473685
career,Sequence Synopsis,5.0,50.0,10.0,10.0,0.2,0.0,1.0,0.2,0.33333333333333337
