dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->exit,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,exit->exit,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,start->exit,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,fast food->fast food,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,exit->start,325,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,gym/fitness center->exit,136,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,gym/fitness center->restaurant,52,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,restaurant->fast food,43,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,71,1.0,2.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->fast food,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,exit->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->gym,292,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,arts&entertainment,8,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,bank,16,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,event space,18,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,fast food,83,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,general college&university,159,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,gym/fitness center,32,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,outdoor outdoor,10,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,residential building(apartment/condo),36,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,restaurant,42,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,store,10,0.0,1.0,1.0
VAST,CoreFlow,10.0,entrance->exit,6,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->entrance,67,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,9,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,general gate->general gate,23,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->ranger-stop,11,1.0,2.0,1.0
VAST,SentenTree,15.0,entrance->general gate,37,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->exit,60,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->general gate,21,1.0,2.0,1.0
career,CoreFlow,5.0,conference->exit,2,0.0,1.0,1.0
career,CoreFlow,5.0,conference->journal,7,0.0,1.0,1.0
career,CoreFlow,5.0,conference->journal,16,0.0,1.0,1.0
career,CoreFlow,5.0,conference->professor,25,0.0,1.0,1.0
career,CoreFlow,5.0,journal->conference,4,0.0,1.0,1.0
career,CoreFlow,5.0,journal->exit,5,0.0,1.0,1.0
career,CoreFlow,5.0,journal->professor,8,0.0,1.0,1.0
career,CoreFlow,5.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,5.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,10.0,conference->conference,9,0.0,1.0,1.0
career,CoreFlow,10.0,conference->exit,16,0.0,1.0,1.0
career,CoreFlow,10.0,conference->professor,25,0.0,1.0,1.0
career,CoreFlow,10.0,journal->exit,5,1.0,2.0,1.0
career,CoreFlow,10.0,journal->journal,2,0.0,1.0,1.0
career,CoreFlow,10.0,journal->professor,8,0.0,1.0,1.0
career,CoreFlow,10.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,10.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,15.0,bs->conference,16,0.0,1.0,1.0
career,CoreFlow,15.0,bs->exit,9,0.0,1.0,1.0
career,CoreFlow,15.0,conference->journal,7,0.0,1.0,1.0
career,CoreFlow,15.0,ms->conference,9,0.0,1.0,1.0
career,CoreFlow,15.0,ms->exit,7,0.0,1.0,1.0
career,CoreFlow,15.0,professor->exit,7,0.0,1.0,1.0
career,CoreFlow,15.0,professor->journal,8,0.0,1.0,1.0
career,CoreFlow,15.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,15.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,15.0,start->professor,25,0.0,1.0,1.0
career,CoreFlow,20.0,bs->professor,25,0.0,1.0,1.0
career,CoreFlow,20.0,conference->professor,9,0.0,1.0,1.0
career,CoreFlow,20.0,ms->professor,15,0.0,1.0,1.0
career,CoreFlow,20.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,2,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,3,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,4,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,7,1.0,2.0,1.0
career,SentenTree,10.0,conference->conference,8,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,33,0.0,1.0,1.0
career,SentenTree,10.0,conference->journal,8,0.0,1.0,1.0
career,SentenTree,10.0,conference->journal,38,0.0,1.0,1.0
career,SentenTree,10.0,conference->professor,20,0.0,1.0,1.0
career,SentenTree,15.0,journal->journal,8,0.0,1.0,1.0
career,SentenTree,15.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,15.0,start->journal,25,0.0,1.0,1.0
career,SentenTree,15.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,10,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,15,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,23,0.0,1.0,1.0
career,SentenTree,20.0,journal->professor,18,0.0,1.0,1.0
career,SentenTree,20.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,20.0,start->journal,25,0.0,1.0,1.0
career,SentenTree,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,start->conference,15,0.0,2.0,2.0
career,SentenTree,25.0,start->conference,20,0.0,1.0,1.0
career,SentenTree,25.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,25.0,start->exit,1,0.0,1.0,1.0
career,SentenTree,25.0,start->journal,25,0.0,1.0,1.0
career,SentenTree,25.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,start->professor,15,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,13,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,14,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->defensive rebound,63,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->foul,18,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->made shot-2,37,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->missed shot-2,14,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->turnover,23,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,foul->made free throw exit,9,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,opponent offense->chicago offense exit,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,start->team-1 offense,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 defensive rebound->team-1 made shot,43,0.0,1.0,1.0
chicago_baseball,CoreFlow,15.0,start->chicago offense,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,start->exit,1,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,made free throw->made shot-2,21,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,made free throw->missed shot-2,9,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,missed shot-2->defensive rebound,45,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,missed shot-2->exit,11,1.0,2.0,1.0
chicago_baseball,SentenTree,5.0,missed shot-2->missed shot-2,43,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,missed shot-3->exit,11,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->chicago offense,63,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->made free throw,29,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->missed shot-2,45,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,exit->exit,45,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,exit->made shot-2,18,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,opponent offense->foul,43,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,opponent offense->missed shot-2,30,0.0,1.0,1.0
chicago_baseball,SentenTree,15.0,made shot-2->chicago offense,49,0.0,1.0,1.0
chicago_baseball,SentenTree,20.0,made shot-2->chicago offense,79,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,team-1 offensive rebound,32,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,30.0,chicago offense,11,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,30.0,end of period,23,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,arrival->discharge-alive,38,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,arrival->icu,62,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,emergency->discharge-alive,24,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,emergency->floor,24,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,emergency->icu,36,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,icu->exit,24,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,start->emergency,100,0.0,1.0,1.0
emergency_dataset,CoreFlow,25.0,start->emergency,100,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->die,36,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->exit,16,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->icu,41,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,icu->exit,8,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->die,24,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->discharge-alive,38,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,icu->die,24,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,icu->discharge-alive,36,0.0,1.0,1.0
emergency_dataset,SentenTree,15.0,floor->die,24,0.0,1.0,1.0
emergency_dataset,SentenTree,15.0,floor->icu,41,0.0,1.0,1.0
emergency_dataset,SentenTree,15.0,icu->discharge-alive,36,0.0,1.0,1.0
emergency_dataset,SentenTree,25.0,exit->exit,36,0.0,1.0,1.0
emergency_dataset,SentenTree,30.0,icu->exit,36,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,blanket->iv,27,1.0,2.0,1.0
pediatric_trauma,CoreFlow,5.0,breathing->pulse,5,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,iv->temp,30,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,pulse->pupil,10,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,pupil->temp,15,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,start->breathing,1,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,temp->exit,23,1.0,2.0,1.0
pediatric_trauma,CoreFlow,30.0,start->pulse,209,0.0,1.0,1.0
pediatric_trauma,CoreFlow,30.0,start->pupil,161,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,exit->blanket,125,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,exit->secondarysurvey,67,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,start->gcs,129,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,start->pulse,209,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,start->pupil,32,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,start->temp,25,0.0,1.0,1.0
pediatric_trauma,SentenTree,15.0,airway->pulse,38,0.0,1.0,1.0
pediatric_trauma,SentenTree,15.0,breathing->secondarysurvey,38,0.0,1.0,1.0
pediatric_trauma,SentenTree,15.0,pulse->pupil,73,0.0,1.0,1.0
pediatric_trauma,SentenTree,15.0,start->breathing,209,0.0,1.0,1.0
pediatric_trauma,SentenTree,20.0,airway->breathing,209,0.0,1.0,1.0
