dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,17.0,0.8947368421052632,2.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
Foursquare_NYC,Sequence Synopsis,15.0,106.0,70.0,66.0,0.6226415094339622,4.0,0.9428571428571428,0.6226415094339622,0.7500000000000001
VAST,SentenTree,5.0,46.0,36.0,19.0,0.41304347826086957,17.0,0.5277777777777778,0.41304347826086957,0.4634146341463415
VAST,Sequence Synopsis,5.0,96.0,63.0,57.0,0.59375,6.0,0.9047619047619048,0.59375,0.7169811320754718
VAST,Sequence Synopsis,15.0,96.0,72.0,58.0,0.6041666666666666,14.0,0.8055555555555556,0.6041666666666666,0.6904761904761905
career,CoreFlow,5.0,23.0,18.0,11.0,0.4782608695652174,7.0,0.6111111111111112,0.4782608695652174,0.5365853658536586
career,CoreFlow,10.0,19.0,19.0,15.0,0.7894736842105263,4.0,0.7894736842105263,0.7894736842105263,0.7894736842105263
career,SentenTree,5.0,44.0,36.0,17.0,0.38636363636363635,19.0,0.4722222222222222,0.38636363636363635,0.425
career,SentenTree,10.0,23.0,17.0,10.0,0.43478260869565216,7.0,0.5882352941176471,0.43478260869565216,0.5
chicago_baseball,CoreFlow,5.0,22.0,16.0,9.0,0.4090909090909091,7.0,0.5625,0.4090909090909091,0.47368421052631576
chicago_baseball,SentenTree,5.0,25.0,22.0,12.0,0.48,10.0,0.5454545454545454,0.48,0.5106382978723404
pediatric_trauma,CoreFlow,5.0,17.0,14.0,12.0,0.7058823529411765,2.0,0.8571428571428571,0.7058823529411765,0.7741935483870968
pediatric_trauma,SentenTree,5.0,30.0,32.0,8.0,0.26666666666666666,24.0,0.25,0.26666666666666666,0.2580645161290323
process_mining,CoreFlow,5.0,19.0,13.0,6.0,0.3157894736842105,7.0,0.46153846153846156,0.3157894736842105,0.37499999999999994
test,CoreFlow,5.0,20.0,17.0,17.0,0.85,0.0,1.0,0.85,0.9189189189189189
test,SentenTree,5.0,37.0,24.0,13.0,0.35135135135135137,11.0,0.5416666666666666,0.35135135135135137,0.4262295081967213
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,20.0,16.0,0.7272727272727273,4.0,0.8,0.7272727272727273,0.761904761904762
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,34.0,14.0,0.4,20.0,0.4117647058823529,0.4,0.40579710144927533
vast_1000,SentenTree,5.0,36.0,27.0,14.0,0.3888888888888889,13.0,0.5185185185185185,0.3888888888888889,0.4444444444444444
