dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,SentenTree,10.0,fast food->exit,71,1.0,2.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,general gate->ranger-stop,70,0.0,1.0,1.0
VAST,SentenTree,10.0,ranger-stop->general gate,11,1.0,2.0,1.0
career,SentenTree,15.0,conference->journal,38,0.0,1.0,1.0
career,SentenTree,20.0,conference->journal,38,0.0,1.0,1.0
career,SentenTree,20.0,conference->professor,33,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,10,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,15,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,20,0.0,1.0,1.0
career,SentenTree,25.0,conference->journal,25,0.0,1.0,1.0
career,SentenTree,25.0,journal->conference,20,0.0,1.0,1.0
career,SentenTree,25.0,ms->conference,38,0.0,1.0,1.0
career,Sequence Synopsis,5.0,assistant professor,9,1.0,2.0,1.0
career,Sequence Synopsis,5.0,assistant professor,19,1.0,2.0,1.0
career,Sequence Synopsis,15.0,conference,4,0.0,1.0,1.0
career,Sequence Synopsis,25.0,conference,4,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 foul->exit,49,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,made shot-2->chicago offense,49,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,emergency->floor,41,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->exit,38,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,icu->discharge-alive,24,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,emergency->floor,41,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->discharge-alive,21,0.0,1.0,1.0
emergency_dataset,SentenTree,15.0,emergency->floor,41,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,airway->breathing,214,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,breathing->pulse,170,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,exit->exit,67,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,gcs->exit,26,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,gcs->pupil,129,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,gcs->secondarysurvey,32,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,gcs->secondarysurvey,47,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pulse->gcs,209,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pupil->exit,25,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pupil->gcs,32,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pupil->secondarysurvey,6,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pupil->temp,30,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,secondarysurvey->exit,73,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,25.0,airway,58,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,25.0,airway,89,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,30.0,gcs,14,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,30.0,secondarysurvey,17,0.0,1.0,1.0
process_mining,CoreFlow,10.0,commit changes->exit,6,0.0,1.0,1.0
process_mining,CoreFlow,10.0,commit changes->resolve issue,11,0.0,1.0,1.0
process_mining,SentenTree,10.0,commit changes->exit,6,0.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,commit changes,11,0.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,exit,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,5.0,start,7,0.0,1.0,1.0
process_mining,Sequence Synopsis,15.0,commit changes,16,1.0,2.0,1.0
process_mining,Sequence Synopsis,15.0,exit,16,1.0,2.0,1.0
umdvsunc_D2O_basketball,CoreFlow,10.0,umd offense->foul,8,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,10.0,umd offense->made shot,3,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,exit->exit,7,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,made shot->exit,27,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,made shot->rebound,7,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,rebound->umd offense,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,umd offense->made shot,8,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,unc offense->missed shot,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,unc offense->rebound,9,0.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,rebound,7,1.0,2.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,mads shot exit,2,0.0,1.0,1.0
vast_1000,SentenTree,10.0,general gate->entrance,637,0.0,1.0,1.0
