dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,17.0,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444
VAST,SentenTree,10.0,16.0,14.0,13.0,0.8125,1.0,0.9285714285714286,0.8125,0.8666666666666666
VAST,Sequence Synopsis,20.0,83.0,80.0,77.0,0.927710843373494,3.0,0.9625,0.927710843373494,0.9447852760736196
VAST,Sequence Synopsis,25.0,71.0,66.0,64.0,0.9014084507042254,2.0,0.9696969696969697,0.9014084507042254,0.9343065693430657
career,CoreFlow,15.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
career,SentenTree,15.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,20.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
chicago_baseball,CoreFlow,10.0,12.0,11.0,10.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
emergency_dataset,CoreFlow,5.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,5.0,14.0,14.0,10.0,0.7142857142857143,4.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
emergency_dataset,SentenTree,10.0,12.0,10.0,9.0,0.75,1.0,0.9,0.75,0.8181818181818182
emergency_dataset,SentenTree,15.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
pediatric_trauma,CoreFlow,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
pediatric_trauma,SentenTree,10.0,18.0,15.0,10.0,0.5555555555555556,5.0,0.6666666666666666,0.5555555555555556,0.606060606060606
pediatric_trauma,Sequence Synopsis,5.0,63.0,75.0,62.0,0.9841269841269841,13.0,0.8266666666666667,0.9841269841269841,0.898550724637681
pediatric_trauma,Sequence Synopsis,15.0,45.0,42.0,41.0,0.9111111111111111,1.0,0.9761904761904762,0.9111111111111111,0.9425287356321839
pediatric_trauma,Sequence Synopsis,20.0,58.0,57.0,56.0,0.9655172413793104,1.0,0.9824561403508771,0.9655172413793104,0.9739130434782608
process_mining,CoreFlow,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,5.0,20.0,16.0,14.0,0.7,2.0,0.875,0.7,0.7777777777777777
process_mining,SentenTree,10.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
process_mining,Sequence Synopsis,5.0,33.0,25.0,24.0,0.7272727272727273,1.0,0.96,0.7272727272727273,0.8275862068965517
process_mining,Sequence Synopsis,10.0,33.0,30.0,28.0,0.8484848484848485,2.0,0.9333333333333333,0.8484848484848485,0.888888888888889
process_mining,Sequence Synopsis,15.0,33.0,30.0,29.0,0.8787878787878788,1.0,0.9666666666666667,0.8787878787878788,0.9206349206349207
process_mining,Sequence Synopsis,20.0,33.0,30.0,28.0,0.8484848484848485,2.0,0.9333333333333333,0.8484848484848485,0.888888888888889
process_mining,Sequence Synopsis,25.0,33.0,30.0,30.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
process_mining,Sequence Synopsis,30.0,33.0,33.0,30.0,0.9090909090909091,3.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,14.0,14.0,0.9333333333333333,0.0,1.0,0.9333333333333333,0.9655172413793104
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,18.0,13.0,0.65,5.0,0.7222222222222222,0.65,0.6842105263157895
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,39.0,39.0,0.975,0.0,1.0,0.975,0.9873417721518987
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,43.0,38.0,0.95,5.0,0.8837209302325582,0.95,0.9156626506024096
vast_1000,SentenTree,10.0,13.0,13.0,11.0,0.8461538461538461,2.0,0.8461538461538461,0.8461538461538461,0.8461538461538461
