dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
VAST,SentenTree,10.0,16.0,14.0,13.0,0.8125,1.0,0.9285714285714286,0.8125,0.8666666666666666
career,CoreFlow,15.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
career,SentenTree,15.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,20.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
career,SentenTree,25.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,5.0,50.0,50.0,50.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,10.0,36.0,36.0,36.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,15.0,49.0,45.0,45.0,0.9183673469387755,0.0,1.0,0.9183673469387755,0.9574468085106383
career,Sequence Synopsis,25.0,50.0,49.0,49.0,0.98,0.0,1.0,0.98,0.98989898989899
career,Sequence Synopsis,30.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,12.0,11.0,10.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
emergency_dataset,CoreFlow,5.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,5.0,14.0,14.0,10.0,0.7142857142857143,4.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
emergency_dataset,SentenTree,10.0,12.0,10.0,9.0,0.75,1.0,0.9,0.75,0.8181818181818182
emergency_dataset,SentenTree,15.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
pediatric_trauma,CoreFlow,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
pediatric_trauma,SentenTree,10.0,18.0,15.0,10.0,0.5555555555555556,5.0,0.6666666666666666,0.5555555555555556,0.606060606060606
pediatric_trauma,Sequence Synopsis,15.0,45.0,42.0,41.0,0.9111111111111111,1.0,0.9761904761904762,0.9111111111111111,0.9425287356321839
pediatric_trauma,Sequence Synopsis,25.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,30.0,36.0,37.0,36.0,1.0,1.0,0.972972972972973,1.0,0.9863013698630138
process_mining,CoreFlow,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,10.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,14.0,14.0,0.9333333333333333,0.0,1.0,0.9333333333333333,0.9655172413793104
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,18.0,13.0,0.65,5.0,0.7222222222222222,0.65,0.6842105263157895
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,39.0,39.0,0.975,0.0,1.0,0.975,0.9873417721518987
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,35.0,35.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,43.0,38.0,0.95,5.0,0.8837209302325582,0.95,0.9156626506024096
vast_1000,SentenTree,10.0,13.0,13.0,11.0,0.8461538461538461,2.0,0.8461538461538461,0.8461538461538461,0.8461538461538461
