dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,10.0,0.5263157894736842,6.0,0.625,0.5263157894736842,0.5714285714285714
Foursquare_NYC,SentenTree,5.0,18.0,18.0,17.0,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444
Foursquare_NYC,Sequence Synopsis,15.0,106.0,128.0,83.0,0.7830188679245284,45.0,0.6484375,0.7830188679245284,0.7094017094017094
VAST,SentenTree,5.0,46.0,19.0,13.0,0.2826086956521739,6.0,0.6842105263157895,0.2826086956521739,0.39999999999999997
VAST,Sequence Synopsis,5.0,96.0,69.0,57.0,0.59375,12.0,0.8260869565217391,0.59375,0.6909090909090908
VAST,Sequence Synopsis,15.0,96.0,79.0,68.0,0.7083333333333334,11.0,0.8607594936708861,0.7083333333333334,0.7771428571428572
VAST,Sequence Synopsis,20.0,83.0,80.0,77.0,0.927710843373494,3.0,0.9625,0.927710843373494,0.9447852760736196
VAST,Sequence Synopsis,25.0,71.0,66.0,64.0,0.9014084507042254,2.0,0.9696969696969697,0.9014084507042254,0.9343065693430657
career,CoreFlow,5.0,23.0,20.0,17.0,0.7391304347826086,3.0,0.85,0.7391304347826086,0.7906976744186046
career,CoreFlow,10.0,19.0,17.0,14.0,0.7368421052631579,3.0,0.8235294117647058,0.7368421052631579,0.7777777777777778
career,SentenTree,5.0,44.0,30.0,18.0,0.4090909090909091,12.0,0.6,0.4090909090909091,0.4864864864864865
career,SentenTree,10.0,23.0,22.0,18.0,0.782608695652174,4.0,0.8181818181818182,0.782608695652174,0.8
chicago_baseball,CoreFlow,5.0,22.0,18.0,8.0,0.36363636363636365,10.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
chicago_baseball,SentenTree,5.0,25.0,18.0,13.0,0.52,5.0,0.7222222222222222,0.52,0.6046511627906976
pediatric_trauma,CoreFlow,5.0,17.0,14.0,10.0,0.5882352941176471,4.0,0.7142857142857143,0.5882352941176471,0.6451612903225806
pediatric_trauma,SentenTree,5.0,30.0,27.0,16.0,0.5333333333333333,11.0,0.5925925925925926,0.5333333333333333,0.5614035087719299
pediatric_trauma,Sequence Synopsis,5.0,63.0,75.0,62.0,0.9841269841269841,13.0,0.8266666666666667,0.9841269841269841,0.898550724637681
pediatric_trauma,Sequence Synopsis,20.0,58.0,57.0,56.0,0.9655172413793104,1.0,0.9824561403508771,0.9655172413793104,0.9739130434782608
process_mining,CoreFlow,5.0,19.0,15.0,6.0,0.3157894736842105,9.0,0.4,0.3157894736842105,0.35294117647058826
process_mining,SentenTree,5.0,20.0,16.0,14.0,0.7,2.0,0.875,0.7,0.7777777777777777
test,CoreFlow,5.0,20.0,19.0,17.0,0.85,2.0,0.8947368421052632,0.85,0.8717948717948718
test,SentenTree,5.0,37.0,25.0,19.0,0.5135135135135135,6.0,0.76,0.5135135135135135,0.6129032258064517
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,21.0,19.0,0.8636363636363636,2.0,0.9047619047619048,0.8636363636363636,0.8837209302325582
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,28.0,18.0,0.5142857142857142,10.0,0.6428571428571429,0.5142857142857142,0.5714285714285714
vast_1000,SentenTree,5.0,36.0,31.0,15.0,0.4166666666666667,16.0,0.4838709677419355,0.4166666666666667,0.44776119402985076
