dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,10.0,0.5263157894736842,6.0,0.625,0.5263157894736842,0.5714285714285714
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,17.0,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
Foursquare_NYC,SentenTree,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,128.0,83.0,0.7830188679245284,45.0,0.6484375,0.7830188679245284,0.7094017094017094
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,19.0,13.0,0.2826086956521739,6.0,0.6842105263157895,0.2826086956521739,0.39999999999999997
VAST,SentenTree,10.0,16.0,14.0,13.0,0.8125,1.0,0.9285714285714286,0.8125,0.8666666666666666
VAST,SentenTree,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
VAST,SentenTree,20.0,10.0,10.0,9.0,0.9,1.0,0.9,0.9,0.9
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,69.0,57.0,0.59375,12.0,0.8260869565217391,0.59375,0.6909090909090908
VAST,Sequence Synopsis,15.0,96.0,79.0,68.0,0.7083333333333334,11.0,0.8607594936708861,0.7083333333333334,0.7771428571428572
VAST,Sequence Synopsis,20.0,83.0,80.0,77.0,0.927710843373494,3.0,0.9625,0.927710843373494,0.9447852760736196
VAST,Sequence Synopsis,25.0,71.0,66.0,64.0,0.9014084507042254,2.0,0.9696969696969697,0.9014084507042254,0.9343065693430657
career,CoreFlow,5.0,23.0,20.0,17.0,0.7391304347826086,3.0,0.85,0.7391304347826086,0.7906976744186046
career,CoreFlow,10.0,19.0,17.0,14.0,0.7368421052631579,3.0,0.8235294117647058,0.7368421052631579,0.7777777777777778
career,CoreFlow,15.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
career,CoreFlow,20.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,5.0,44.0,30.0,18.0,0.4090909090909091,12.0,0.6,0.4090909090909091,0.4864864864864865
career,SentenTree,10.0,23.0,22.0,18.0,0.782608695652174,4.0,0.8181818181818182,0.782608695652174,0.8
career,SentenTree,15.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,20.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
career,SentenTree,25.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,5.0,50.0,50.0,50.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,10.0,36.0,36.0,36.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,15.0,49.0,45.0,45.0,0.9183673469387755,0.0,1.0,0.9183673469387755,0.9574468085106383
career,Sequence Synopsis,25.0,50.0,49.0,49.0,0.98,0.0,1.0,0.98,0.98989898989899
career,Sequence Synopsis,30.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,22.0,18.0,8.0,0.36363636363636365,10.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
chicago_baseball,CoreFlow,10.0,12.0,11.0,10.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
chicago_baseball,CoreFlow,15.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,5.0,25.0,18.0,13.0,0.52,5.0,0.7222222222222222,0.52,0.6046511627906976
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
chicago_baseball,SentenTree,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
chicago_baseball,SentenTree,20.0,9.0,8.0,7.0,0.7777777777777778,1.0,0.875,0.7777777777777778,0.823529411764706
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,12.0,12.0,0.8,0.0,1.0,0.8,0.888888888888889
chicago_baseball,Sequence Synopsis,15.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,20.0,21.0,21.0,21.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,31.0,31.0,31.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,30.0,25.0,25.0,24.0,0.96,1.0,0.96,0.96,0.96
emergency_dataset,CoreFlow,5.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,CoreFlow,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,5.0,14.0,14.0,10.0,0.7142857142857143,4.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
emergency_dataset,SentenTree,10.0,12.0,10.0,9.0,0.75,1.0,0.9,0.75,0.8181818181818182
emergency_dataset,SentenTree,15.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
emergency_dataset,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,30.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,Sequence Synopsis,5.0,25.0,23.0,21.0,0.84,2.0,0.9130434782608695,0.84,0.8749999999999999
pediatric_trauma,CoreFlow,5.0,17.0,14.0,10.0,0.5882352941176471,4.0,0.7142857142857143,0.5882352941176471,0.6451612903225806
pediatric_trauma,CoreFlow,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
pediatric_trauma,CoreFlow,30.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
pediatric_trauma,SentenTree,5.0,30.0,27.0,16.0,0.5333333333333333,11.0,0.5925925925925926,0.5333333333333333,0.5614035087719299
pediatric_trauma,SentenTree,10.0,18.0,15.0,10.0,0.5555555555555556,5.0,0.6666666666666666,0.5555555555555556,0.606060606060606
pediatric_trauma,SentenTree,15.0,10.0,8.0,3.0,0.3,5.0,0.375,0.3,0.33333333333333326
pediatric_trauma,SentenTree,20.0,8.0,8.0,5.0,0.625,3.0,0.625,0.625,0.625
pediatric_trauma,Sequence Synopsis,5.0,63.0,75.0,62.0,0.9841269841269841,13.0,0.8266666666666667,0.9841269841269841,0.898550724637681
pediatric_trauma,Sequence Synopsis,10.0,31.0,32.0,31.0,1.0,1.0,0.96875,1.0,0.9841269841269841
pediatric_trauma,Sequence Synopsis,15.0,45.0,42.0,41.0,0.9111111111111111,1.0,0.9761904761904762,0.9111111111111111,0.9425287356321839
pediatric_trauma,Sequence Synopsis,20.0,58.0,57.0,56.0,0.9655172413793104,1.0,0.9824561403508771,0.9655172413793104,0.9739130434782608
pediatric_trauma,Sequence Synopsis,25.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,30.0,36.0,37.0,36.0,1.0,1.0,0.972972972972973,1.0,0.9863013698630138
process_mining,CoreFlow,5.0,19.0,15.0,6.0,0.3157894736842105,9.0,0.4,0.3157894736842105,0.35294117647058826
process_mining,CoreFlow,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,15.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,20.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,5.0,20.0,16.0,14.0,0.7,2.0,0.875,0.7,0.7777777777777777
process_mining,SentenTree,10.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
process_mining,SentenTree,15.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,20.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,33.0,25.0,24.0,0.7272727272727273,1.0,0.96,0.7272727272727273,0.8275862068965517
process_mining,Sequence Synopsis,10.0,33.0,30.0,28.0,0.8484848484848485,2.0,0.9333333333333333,0.8484848484848485,0.888888888888889
process_mining,Sequence Synopsis,15.0,33.0,30.0,29.0,0.8787878787878788,1.0,0.9666666666666667,0.8787878787878788,0.9206349206349207
process_mining,Sequence Synopsis,20.0,33.0,30.0,28.0,0.8484848484848485,2.0,0.9333333333333333,0.8484848484848485,0.888888888888889
process_mining,Sequence Synopsis,25.0,33.0,30.0,30.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
process_mining,Sequence Synopsis,30.0,33.0,33.0,30.0,0.9090909090909091,3.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
test,CoreFlow,5.0,20.0,19.0,17.0,0.85,2.0,0.8947368421052632,0.85,0.8717948717948718
test,CoreFlow,20.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
test,SentenTree,5.0,37.0,25.0,19.0,0.5135135135135135,6.0,0.76,0.5135135135135135,0.6129032258064517
test,SentenTree,20.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
test,Sequence Synopsis,5.0,24.0,23.0,23.0,0.9583333333333334,0.0,1.0,0.9583333333333334,0.9787234042553191
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,21.0,19.0,0.8636363636363636,2.0,0.9047619047619048,0.8636363636363636,0.8837209302325582
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,14.0,14.0,0.9333333333333333,0.0,1.0,0.9333333333333333,0.9655172413793104
umdvsunc_D2O_basketball,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,28.0,18.0,0.5142857142857142,10.0,0.6428571428571429,0.5142857142857142,0.5714285714285714
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,18.0,13.0,0.65,5.0,0.7222222222222222,0.65,0.6842105263157895
umdvsunc_D2O_basketball,SentenTree,15.0,10.0,9.0,6.0,0.6,3.0,0.6666666666666666,0.6,0.631578947368421
umdvsunc_D2O_basketball,SentenTree,25.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,39.0,39.0,0.975,0.0,1.0,0.975,0.9873417721518987
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,35.0,35.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,15.0,32.0,32.0,32.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,20.0,25.0,26.0,25.0,1.0,1.0,0.9615384615384616,1.0,0.9803921568627451
umdvsunc_D2O_basketball,Sequence Synopsis,25.0,32.0,32.0,32.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,43.0,38.0,0.95,5.0,0.8837209302325582,0.95,0.9156626506024096
vast_1000,CoreFlow,5.0,7.0,6.0,6.0,0.8571428571428571,0.0,1.0,0.8571428571428571,0.923076923076923
vast_1000,CoreFlow,10.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
vast_1000,SentenTree,5.0,36.0,31.0,15.0,0.4166666666666667,16.0,0.4838709677419355,0.4166666666666667,0.44776119402985076
vast_1000,SentenTree,10.0,13.0,13.0,11.0,0.8461538461538461,2.0,0.8461538461538461,0.8461538461538461,0.8461538461538461
vast_1000,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
vast_1000,SentenTree,20.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
vast_1000,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
