dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->exit,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,28,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,restaurant->restaurant,50,1.0,2.0,1.0
Foursquare_NYC,SentenTree,10.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,arts&entertainment,24,1.0,5.0,4.0
Foursquare_NYC,Sequence Synopsis,15.0,event space,13,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,4,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,14,1.0,5.0,4.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,16,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,95,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,fast food,58,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,gym/fitness center,69,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,laundry service,2,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,neighborhood,4,1.0,5.0,4.0
Foursquare_NYC,Sequence Synopsis,15.0,outdoor,3,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recreation,5,1.0,4.0,3.0
Foursquare_NYC,Sequence Synopsis,15.0,recreation,10,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recreation,46,1.0,4.0,3.0
Foursquare_NYC,Sequence Synopsis,15.0,residential building(apartment/condo),25,1.0,5.0,4.0
Foursquare_NYC,Sequence Synopsis,15.0,restaurant,1,1.0,3.0,2.0
Foursquare_NYC,Sequence Synopsis,15.0,restaurant,43,1.0,5.0,4.0
Foursquare_NYC,Sequence Synopsis,15.0,sorrelax,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,spiritual,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,stadium,2,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,95,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,travel&transport,38,1.0,5.0,4.0
VAST,SentenTree,5.0,general gate->camping,15,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,30,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->exit,7,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,10,0.0,1.0,1.0
