Model,Complexity_Level,Ground_Truth_Events,Extracted_Events,Correctly_Extracted,Precision,Recall,F1,Hallucinated_Events
gemini-2.0-flash,Medium,923,737,734,0.9959294436906377,0.7952329360780065,0.8843373493975903,3
gemini-2.0-flash,High,1048,664,629,0.947289156626506,0.6001908396946565,0.7348130841121495,35
gemini-2.0-flash,Low,612,440,434,0.9863636363636363,0.7091503267973857,0.8250950570342206,6
gemini-2.5-flash-preview-04-17,Medium,923,903,851,0.9424141749723145,0.9219934994582882,0.932092004381161,52
gemini-2.5-flash-preview-04-17,High,1048,1032,861,0.8343023255813954,0.8215648854961832,0.8278846153846154,171
gemini-2.5-flash-preview-04-17,Low,612,586,533,0.909556313993174,0.8709150326797386,0.8898163606010018,53
gemini-2.5-pro-preview-05-06,Medium,923,912,890,0.9758771929824561,0.9642470205850487,0.9700272479564033,22
gemini-2.5-pro-preview-05-06,High,1048,1019,942,0.9244357212953876,0.898854961832061,0.9114658925979681,77
gemini-2.5-pro-preview-05-06,Low,612,605,600,0.9917355371900827,0.9803921568627451,0.9860312243221037,5
google_gemma-3-27b-it,Medium,923,770,716,0.9298701298701298,0.7757313109425785,0.8458357944477259,54
google_gemma-3-27b-it,High,1048,563,452,0.8028419182948491,0.4312977099236641,0.5611421477343266,111
google_gemma-3-27b-it,Low,612,524,497,0.9484732824427481,0.8120915032679739,0.875,27
meta_llama-3.2-90b-vision-instruct-maas,Medium,923,873,868,0.9942726231386025,0.9404117009750813,0.9665924276169265,5
meta_llama-3.2-90b-vision-instruct-maas,High,1048,906,853,0.9415011037527594,0.8139312977099237,0.873080859774821,53
meta_llama-3.2-90b-vision-instruct-maas,Low,612,534,518,0.9700374531835206,0.8464052287581699,0.9040139616055847,16
meta_llama-4-scout-17b-16e-instruct-maas,Medium,923,767,693,0.9035202086049544,0.7508125677139762,0.8201183431952662,74
meta_llama-4-scout-17b-16e-instruct-maas,High,1048,737,520,0.7055630936227951,0.4961832061068702,0.5826330532212886,217
