[
  ["_Start", "Opponent Offense", 168],
  ["Opponent Offense", "CHICAGO Offense _Exit", 167],
  ["CHICAGO Offense _Exit", "Made Shot - 2", 37],
  ["CHICAGO Offense _Exit", "Foul", 9],
  ["CHICAGO Offense _Exit", "Missed Shot - 2", 14],
  ["CHICAGO Offense _Exit", "Turnover", 12],
  ["Made Shot - 2", "_Exit", 37],
  ["Foul", "Made Free Throw _Exit", 9],
  ["Foul", "_Exit", 9],
  ["Missed Shot - 2", "_Exit", 14],
  ["Turnover", "_Exit", 12],
  ["Defensive Rebound", "Made Shot - 2", 20],
  ["Defensive Rebound", "Missed Shot - 2", 14],
  ["Defensive Rebound", "Foul", 11],
  ["Defensive Rebound", "_Exit", 18],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_Exit", "_Exit", 0],
  ["_
