[
  ["entrance", "general gate", 85],
  ["entrance", "ranger-stop", 94],
  ["general gate", "ranger-stop", 11],
  ["general gate", "ranger-stop", 63],
  ["general gate", "ranger-stop", 4],
  ["general gate", "ranger-stop", 45],
  ["general gate", "ranger-stop", 7],
  ["general gate", "ranger-stop", 13],
  ["general gate", "ranger-stop", 42],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general gate", "ranger-stop", 6],
  ["general
