[
  ["_Start", "UNC Offense", 69],
  ["_Start", "Rebound", 23],
  ["_Start", "Made Shot", 27],
  ["_Start", "Turnover", 24],
  ["_Start", "Foul", 5],
  ["_Start", "Made Free Throw", 4],
  ["UNC Offense", "Rebound", 15],
  ["UNC Offense", "Missed Shot", 9],
  ["UNC Offense", "Foul", 5],
  ["UNC Offense", "Made Free Throw", 4],
  ["UNC Offense", "Turnover", 5],
  ["UNC Offense", "Made Shot", 8],
  ["Rebound", "Rebound", 15],
  ["Rebound", "Missed Shot", 6],
  ["Rebound", "Turnover", 4],
  ["Rebound", "_Exit", 7],
  ["Missed Shot", "Rebound", 15],
  ["Missed Shot", "Turnover", 4],
  ["Missed Shot", "_Exit", 6],
  ["Foul", "Rebound", 4],
  ["Foul", "Turnover", 4],
  ["Foul", "_Exit", 4],
  ["Made Free Throw", "Rebound", 4],
  ["Made Free Throw", "Turnover", 4],
  ["Made Free Throw", "_Exit", 4],
  ["Turnover", "Rebound", 4],
  ["Turnover", "Turnover", 7],
  ["Turnover", "_Exit", 4],
  ["Made Shot", "Rebound", 4],
  ["Made Shot", "Turnover", 4],
  ["Made Shot", "_Exit", 7],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_Exit", 4],
  ["_Exit", "_
