[
  ["_Start", "entrance", 947],
  ["_Start", "general gate", 847],
  ["entrance", "ranger-stop", 95],
  ["entrance", "camping", 57],
  ["general gate", "ranger-stop", 642],
  ["general gate", "camping", 57],
  ["ranger-stop", "ranger-stop", 38],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
  ["ranger-stop", "ranger-base", 53],
  ["ranger-stop", "gate", 53],
 
