```json
[
["_Start", "Arrival", 100],
["Arrival", "Emergency", 100],
["Emergency", "Floor", 41],
["Emergency", "ICU", 21],
["Emergency", "Discharge-Alive", 38],
["Floor", "ICU", 24],
["ICU", "Die", 36],
["ICU", "Floor", 8],
["Die", "_Exit", 36],
["Floor", "Discharge-Alive", 16],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 8],
["Discharge-Alive", "ICU", 8],
["Discharge-Alive", "ICU", 8],
["Discharge-Alive", "ICU", 8],
["Discharge-Alive", "ICU", 8],
["Discharge-Alive", "ICU", 8],
["Discharge-Alive", "ICU", 8],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
["Discharge-Alive", "_Exit", 24],
