[
["_Start", "UNC Offense", 69],
["UNC Offense", "UMD Offense", 69],
["UMD Offense", "Rebound", 34],
["UMD Offense", "Missed Shot", 10],
["UMD Offense", "Foul", 8],
["UMD Offense", "Made Shot", 3],
["Rebound", "Made Shot", 15],
["Rebound", "Missed Shot", 9],
["Rebound", "Foul", 6],
["Missed Shot", "_Exit", 14],
["Foul", "Made Free Throw _Exit", 6],
["Foul", "_Exit", 4],
["Made Shot", "_Exit", 8],
["Turnover", "_Exit", 4],
["Made Free Throw _Exit", "_Exit", 2],
["Made Free Throw _Exit", "_Exit", 4],
["Missed Shot", "_Exit", 9],
["Foul", "Made Free Throw _Exit", 4],
["Rebound", "Foul", 4],
["Turnover", "_Exit", 4]
]
