[
["_Start", "Opponent Offense", 168],
["Opponent Offense", "Made Shot - 2", 45],
["Opponent Offense", "Missed Shot - 2", 43],
["Opponent Offense", "Foul", 30],
["Foul", "Made Free Throw", 0],
["Foul", "Missed Shot - 3", 11],
["Made Shot - 2", "CHICAGO Offense", 45],
["Missed Shot - 2", "CHICAGO Offense", 43],
["Made Free Throw", "Made Free Throw", 9],
["Made Free Throw", "CHICAGO Offense", 21],
["Missed Shot - 3", "Made Free Throw", 9],
["Missed Shot - 3", "CHICAGO Offense", 11],
["CHICAGO Offense", "Defensive Rebound", 63],
["CHICAGO Offense", "Missed Shot - 2", 61],
["CHICAGO Offense", "Made Shot - 2", 29],
["Defensive Rebound", "Made Shot - 2", 18],
["Defensive Rebound", "Missed Shot - 2", 9],
["Defensive Rebound", "_Exit", 36],
["Missed Shot - 2", "_Exit", 11],
["Made Shot - 2", "_Exit", 29],
["Made Shot - 2", "_Exit", 18],
["Missed Shot - 2", "_Exit", 9]
]
