[
["_Start", "UNC Offense", 69],
["UNC Offense", "Rebound", 8],
["UNC Offense", "Foul", 15],
["Rebound", "Missed Shot", 15],
["Rebound", "Made Shot", 23],
["Foul", "Made Free Throw", 5],
["Missed Shot", "Turnover", 9],
["Made Free Throw", "Made Free Throw", 4],
["Made Free Throw", "UMD Offense", 5],
["Made Shot", "UMD Offense", 27],
["Turnover", "Foul", 24],
["UMD Offense", "Foul", 7],
["UMD Offense", "Missed Shot", 16],
["UMD Offense", "Steal", 4],
["Foul", "Made Free Throw", 7],
["Foul", "_Exit", 4],
["Missed Shot", "_Exit", 9],
["Steal", "_Exit", 4],
["Made Free Throw", "_Exit", 4],
["Rebound", "Foul", 4],
["Rebound", "Made Shot", 7],
["Rebound", "Missed Shot", 6],
["Rebound", "Turnover", 4],
["Made Shot", "_Exit", 7],
["Missed Shot", "_Exit", 6],
["Turnover", "_Exit", 4],
["Made Free Throw", "_Exit", 4]
]
