[
["Start", "BS", 40],
["BS", "Conference", 3],
["Conference", "MS", 37],
["MS", "Conference", 3],
["Conference", "PhD", 3],
["PhD", "Assistant Professor", 35],
["Assistant Professor", "Conference", 3],
["Conference", "Conference", 29],
["Conference", "Journal", 4],
["Assistant Professor", "Associate Professor", 3],
["Associate Professor", "Conference", 22],
["Conference", "Journal", 4],
["Journal", "Journal", 3],
["Journal", "Exit", 3],
["Conference", "Professor", 2],
["Professor", "Journal", 17],
["Journal", "Exit", 3],
["Conference", "Conference", 15],
["Conference", "Conference", 10],
["Conference", "Journal", 3],
["Journal", "Exit", 5],
["Conference", "Conference", 7],
["Conference", "Exit", 6],
["Conference", "Exit", 7],
["Exit", "Exit", 3]
]
