[
["_Start", "Opponent Offense", 168],
["Opponent Offense", "Foul", 30],
["Opponent Offense", "Made Free Throw", 29],
["Opponent Offense", "Missed Shot - 2", 45],
["Opponent Offense", "Missed Shot - 2", 43],
["Foul", "Made Free Throw", 21],
["Foul", "Missed Shot - 3", 11],
["Made Free Throw", "Made Free Throw", 9],
["Made Free Throw", "Missed Shot - 3", 11],
["Missed Shot - 2", "CHICAGO Offense", 63],
["Missed Shot - 2", "Defensive Rebound", 18],
["Missed Shot - 2", "_Exit", 9],
["Missed Shot - 2", "Missed Shot - 2", 61],
["Made Free Throw", "CHICAGO Offense", 9],
["CHICAGO Offense", "Made Shot - 2", 29],
["CHICAGO Offense", "Missed Shot - 2", 11],
["Defensive Rebound", "Made Shot - 2", 18],
["Defensive Rebound", "Missed Shot - 2", 9],
["Missed Shot - 2", "_Exit", 36]
]
