[
["_Start", "UNC Offense", 69],
["UNC Offense", "Rebound", 15],
["UNC Offense", "Missed Shot", 9],
["UNC Offense", "Foul", 5],
["UNC Offense", "Turnover", 24],
["Rebound", "Missed Shot", 15],
["Rebound", "Made Free Throw", 4],
["Rebound", "_Exit", 4],
["Missed Shot", "Foul", 7],
["Missed Shot", "_Exit", 6],
["Foul", "Made Free Throw", 5],
["Foul", "_Exit", 4],
["Made Free Throw", "Turnover", 27],
["Made Free Throw", "_Exit", 4],
["Turnover", "UMD Offense", 4],
["Turnover", "_Exit", 4],
["UMD Offense", "Made Shot", 23],
["UMD Offense", "Missed Shot", 16],
["UMD Offense", "Foul", 8],
["Made Shot", "_Exit", 4],
["Made Shot", "Steal", 4],
["Missed Shot", "Rebound", 27],
["Missed Shot", "_Exit", 7],
["Foul", "Made Free Throw", 4],
["Foul", "_Exit", 4],
["Made Free Throw", "_Exit", 4]
]
