[
["_Start", "entrance", 94],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger-base", 6],
["entrance", "ranger
