[
["entrance", "general gate", 85],
["entrance", "ranger-base", 94],
["general gate", "gate", 7],
["general gate", "ranger-stop", 11],
["general gate", "camping", 63],
["general gate", "ranger-stop", 13],
["general gate", "ranger-stop", 4],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "ranger-stop", 1],
["general gate", "r
