[
["Start", "airway", 170],
["Start", "breathing", 214],
["Start", "pulse", 193],
["Start", "secondary_survey", 38],
["Start", "pupil", 108],
["airway", "gcs", 53],
["breathing", "pulse", 16],
["pulse", "temp", 32],
["pulse", "secondary_survey", 15],
["pulse", "gcs", 108],
["pulse", "temp", 25],
["pulse", "pupil", 47],
["pulse", "secondary_survey", 26],
["pulse", "gcs", 22],
["pulse", "temp", 16],
["pulse", "pupil", 25],
["pulse", "secondary_survey", 13],
["pulse", "gcs", 13],
["pulse", "temp", 11],
["pulse", "pupil", 21],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 11],
["pulse", "temp", 11],
["pulse", "pupil", 11],
["pulse", "secondary_survey", 11],
["pulse", "gcs", 1
