[
["entrance", 9],
["general gate", 11],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
["general gate", 10],
["ranger-stop", 10],
