[
["_Start", 8],
["BS", 3],
["MS", 2],
["Journal", 1],
["Conference", 5],
["Assistant Professor", 4],
["Associate Professor", 3],
["Professor", 2],
["PhD", 6],
["Assistant Professor", 7],
["Journal", 1],
["Conference", 10],
["Assistant Professor", 11],
["Journal", 1],
["Conference", 12],
["Assistant Professor", 13],
["Journal", 1],
["Conference", 14],
["Assistant Professor", 15],
["Journal", 1],
["Conference", 16],
["Assistant Professor", 17],
["Journal", 1],
["Conference", 18],
["Assistant Professor", 19],
["Journal", 1],
["Conference", 20],
["Assistant Professor", 21],
["Journal", 1],
["Conference", 22],
["Assistant Professor", 23],
["Journal", 1],
["Conference", 24],
["Assistant Professor", 25],
["Journal", 1],
["Conference", 26],
["Assistant Professor", 27],
["Journal", 1],
["Conference", 28],
["Assistant Professor", 29],
["Journal", 1],
["Conference", 30],
["Assistant Professor", 31],
["Journal", 1],
["Conference", 32],
["Assistant Professor", 33],
["Journal", 1],
["Conference", 34],
["Assistant Professor", 35],
["Journal", 1],
["Conference", 36],
["Assistant Professor", 37],
["Journal", 1],
["Conference", 38],
["Assistant Professor", 39],
["Journal", 1],
["Conference", 40],
["Assistant Professor", 41],
["Journal", 1],
["Conference", 42],
["Assistant Professor", 43],
["Journal", 1],
["Conference", 44],
["Assistant Professor", 45],
["Journal", 1],
["Conference", 46],
["Assistant Professor", 47],
["Journal", 1],
["Conference", 48],
["Assistant Professor", 49],
["Journal", 1],
["Conference", 50],
["Assistant Professor", 51],
["Journal", 1],
["Conference", 52],
["Assistant Professor", 53],
["Journal", 1],
["Conference", 54],
["Assistant Professor", 55],
["Journal", 1],
["Conference", 56],
["Assistant Professor", 57],
["Journal", 1],
["Conference", 58],
["Assistant Professor", 59],
["Journal", 1],
["Conference", 60],
["Assistant Professor", 61],
["Journal", 1],
["Conference", 62],
["Assistant Professor", 63],
["Journal", 1],
["Conference", 64],
["Assistant Professor", 65],
["Journal", 1],
["Conference", 66],
["Assistant Professor", 67],
["Journal", 1],
["Conference", 68],
["Assistant Professor", 69],
["Journal", 1],
["Conference", 70],
["Assistant Professor", 71],
["Journal", 1],
["Conference", 72],
["Assistant Professor", 73],
["Journal", 1],
["Conference", 74],
["Assistant Professor", 75],
["Journal", 1],
["Conference", 76],
["Assistant Professor", 77],
["Journal", 1],
["Conference", 78],
["Assistant Professor", 79],
["Journal", 1],
["Conference", 80],
["Assistant Professor", 81],
["Journal", 1],
["Conference", 82],
["Assistant Professor", 83],
["Journal", 1],
["Conference", 84],
["Assistant Professor", 85],
["Journal", 1],
["Conference", 86],
["Assistant Professor", 87],
["Journal", 1],
["Conference", 88],
["Assistant Professor", 89],
["Journal", 1],
["Conference", 90],
["Assistant Professor", 91],
["Journal", 1],
["Conference", 92],
["Assistant Professor", 93],
["Journal", 1],
["Conference", 94],
["Assistant Professor", 95],
["Journal", 1],
["Conference", 96],
["Assistant Professor", 97],
["Journal", 1],
["Conference", 98],
["Assistant Professor", 99],
["Journal", 1],
